Episode,MaxEpisodes,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
174,5000,-3558.77,67,-1430.65,11796,-363.56
175,5000,-57.17,24,-1310.24,11820,-216.24
176,5000,-1660.99,45,-1372.57,11865,-982.18
177,5000,-1384.4,56,-1417.71,11921,-686.12
178,5000,-3167.05,95,-1641.35,12016,-453.38
179,5000,-2013.67,53,-1828.34,12069,-1144.56
180,5000,-572.22,29,-1779.07,12098,-738.14
181,5000,-2533.31,80,-1928.18,12178,-564.63
182,5000,-2325.17,70,-1996.15,12248,-457.48
183,5000,-621.82,30,-1789.46,12278,-556.08
184,5000,-365.12,26,-1470.09,12304,-590.43
185,5000,-1509.88,38,-1615.36,12342,-1308.18
186,5000,-75.95,26,-1456.86,12368,-184.52
187,5000,-1557.95,41,-1474.21,12409,-1224.04
188,5000,-2714.08,70,-1428.92,12479,-758.17
189,5000,-2104.35,70,-1437.99,12549,-790.82
190,5000,-1718.52,80,-1552.62,12629,-60.04
191,5000,-2863.09,68,-1585.59,12697,-498.64
192,5000,-1806.98,49,-1533.78,12746,-711.19
193,5000,-3309.16,87,-1802.51,12833,-42.84
194,5000,-1713.85,46,-1937.38,12879,-882.57
195,5000,-2511.25,81,-2037.52,12960,-466.27
196,5000,-659.45,29,-2095.87,12989,-690.08
197,5000,-1269.66,40,-2067.04,13029,-1016.99
198,5000,-3326.71,99,-2128.3,13128,-132.06
199,5000,-1596.06,70,-2077.47,13198,-306.73
200,5000,-1716.49,44,-2077.27,13242,-988.47
201,5000,-2948.53,74,-2085.81,13316,-58.45
202,5000,-1374.45,42,-2042.56,13358,-1110.95
203,5000,-3926.01,74,-2104.25,13432,-585.67
204,5000,-3197.32,85,-2252.59,13517,-103.44
205,5000,-2222.35,53,-2223.7,13570,-1395.65
206,5000,-3920.81,90,-2549.84,13660,-128.63
207,5000,-2507.91,86,-2673.67,13746,-635.45
208,5000,-1809.66,71,-2521.96,13817,-127.89
209,5000,-3199.13,65,-2682.27,13882,-223.17
210,5000,-1984.44,76,-2709.06,13958,-481.57
211,5000,-1393.6,83,-2553.57,14041,-76.71
212,5000,-2603.83,71,-2676.51,14112,-624.57
213,5000,-1229.99,36,-2406.9,14148,-1574.2
214,5000,-3077.17,90,-2394.89,14238,-887.4
215,5000,-2552.76,94,-2427.93,14332,-389.42
216,5000,-57.68,34,-2041.62,14366,-66.27
