Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260706_155021_td3_mathworks_style_pi_current_1d_500hz_near_upright_imeas_scratch\training_console.log
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 1 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 22 workers.
Episode: 128/1500 | Episode reward:    40.46 | Episode steps:   52 | Average reward:    43.91 | Step Count: 12305 | Episode Q0:     0.53
Episode: 129/1500 | Episode reward:    47.82 | Episode steps:   62 | Average reward:    45.15 | Step Count: 12367 | Episode Q0:     0.73
Episode: 130/1500 | Episode reward:    38.98 | Episode steps:   51 | Average reward:    46.09 | Step Count: 12418 | Episode Q0:     0.73
Episode: 131/1500 | Episode reward:    50.53 | Episode steps:   65 | Average reward:    45.54 | Step Count: 12483 | Episode Q0:     0.73
Episode: 132/1500 | Episode reward:    53.28 | Episode steps:   68 | Average reward:    47.14 | Step Count: 12551 | Episode Q0:     0.73
Episode: 133/1500 | Episode reward:    47.28 | Episode steps:   62 | Average reward:    47.34 | Step Count: 12613 | Episode Q0:     0.73
Episode: 134/1500 | Episode reward:    43.52 | Episode steps:   58 | Average reward:    47.01 | Step Count: 12671 | Episode Q0:     0.73
Episode: 135/1500 | Episode reward:    39.48 | Episode steps:   54 | Average reward:    43.34 | Step Count: 12725 | Episode Q0:     0.73
Episode: 136/1500 | Episode reward:    43.71 | Episode steps:   55 | Average reward:    44.04 | Step Count: 12780 | Episode Q0:     0.73
Episode: 137/1500 | Episode reward:    59.26 | Episode steps:   88 | Average reward:    46.43 | Step Count: 12868 | Episode Q0:     0.73
Episode: 138/1500 | Episode reward:    44.94 | Episode steps:   63 | Average reward:    46.88 | Step Count: 12931 | Episode Q0:     0.73
Episode: 139/1500 | Episode reward:    99.70 | Episode steps:  114 | Average reward:    52.07 | Step Count: 13045 | Episode Q0:     0.73
Episode: 140/1500 | Episode reward:    57.32 | Episode steps:   79 | Average reward:    53.90 | Step Count: 13124 | Episode Q0:     0.73
Episode: 141/1500 | Episode reward:    86.26 | Episode steps:  122 | Average reward:    57.48 | Step Count: 13246 | Episode Q0:     0.73
Episode: 142/1500 | Episode reward:    91.95 | Episode steps:  124 | Average reward:    61.34 | Step Count: 13370 | Episode Q0:     0.73
Episode: 143/1500 | Episode reward:    50.07 | Episode steps:   68 | Average reward:    61.62 | Step Count: 13438 | Episode Q0:     0.73
Episode: 144/1500 | Episode reward:    37.24 | Episode steps:   52 | Average reward:    60.99 | Step Count: 13490 | Episode Q0:     0.73
Episode: 145/1500 | Episode reward:    59.72 | Episode steps:   77 | Average reward:    63.02 | Step Count: 13567 | Episode Q0:     0.73
Episode: 146/1500 | Episode reward:    53.17 | Episode steps:   66 | Average reward:    63.96 | Step Count: 13633 | Episode Q0:     0.73
Episode: 147/1500 | Episode reward:    99.09 | Episode steps:  127 | Average reward:    67.94 | Step Count: 13760 | Episode Q0:     0.73
Episode: 148/1500 | Episode reward:    45.06 | Episode steps:   54 | Average reward:    67.96 | Step Count: 13814 | Episode Q0:     0.73
Episode: 149/1500 | Episode reward:    60.97 | Episode steps:   77 | Average reward:    64.09 | Step Count: 13891 | Episode Q0:     0.73
Episode: 150/1500 | Episode reward:    58.20 | Episode steps:   81 | Average reward:    64.17 | Step Count: 13972 | Episode Q0:     0.73
Episode: 151/1500 | Episode reward:    64.36 | Episode steps:   90 | Average reward:    61.98 | Step Count: 14062 | Episode Q0:     0.73
Episode: 152/1500 | Episode reward:    58.50 | Episode steps:   96 | Average reward:    58.64 | Step Count: 14158 | Episode Q0:     0.73
Episode: 153/1500 | Episode reward:    54.63 | Episode steps:   66 | Average reward:    59.09 | Step Count: 14224 | Episode Q0:     0.73
Episode: 154/1500 | Episode reward:    47.28 | Episode steps:   68 | Average reward:    60.10 | Step Count: 14292 | Episode Q0:     0.73
Episode: 155/1500 | Episode reward:    37.98 | Episode steps:   56 | Average reward:    57.93 | Step Count: 14348 | Episode Q0:     0.73
Episode: 156/1500 | Episode reward:    64.67 | Episode steps:   82 | Average reward:    59.08 | Step Count: 14430 | Episode Q0:     0.73
Episode: 157/1500 | Episode reward:    41.69 | Episode steps:   56 | Average reward:    53.34 | Step Count: 14486 | Episode Q0:     0.73
Episode: 158/1500 | Episode reward:    45.62 | Episode steps:   58 | Average reward:    53.39 | Step Count: 14544 | Episode Q0:     0.73
Episode: 159/1500 | Episode reward:    46.24 | Episode steps:   59 | Average reward:    51.92 | Step Count: 14603 | Episode Q0:     0.73
Episode: 160/1500 | Episode reward:   105.66 | Episode steps:  149 | Average reward:    56.66 | Step Count: 14752 | Episode Q0:     0.73
