CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,DActionEnergy,DTorqueCommandEnergy,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
230,0.785398163397448,-0.785398163397448,0,0,full_final,5,100001,1.27449259414697,3.14144547662922,29.3197308856772,0.765492681479681,1.14912738923282,3.93075874514491,1.6561,NaN,4.80264318910292e-08,0.802312730601936,-4.14294537495779e-08,-0.802312730601936,1.40825123761553e-07,0.00735161774625565,4.27834545773963,0.001808919840343,0.190287425677105,4.27834545773963,0.00354369217404504,0.0212879396404237,0,0,3.49690166138751,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:47
231,0.785398163397448,-0.785398163397448,0,10,full_final,5,100001,1.05968688977025,0.785398163397448,10,0.107591305974613,0.0262911150011104,4.04740951281379,0.8266,NaN,9.52203681962088e-09,0.80231240126777,3.92575500638905e-09,-0.80231240126777,3.32951319848007e-08,0.000164888155655767,0.0957377894276496,2.7774937599094e-05,0.0029217554344872,0.0957377894276496,3.30479301119807e-05,0.000205600312844581,0,0,2.23889380755929,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:44
232,0.785398163397448,-0.785398163397448,5,-10,full_final,5,100001,1.27275635350067,3.14128891803884,34.7569504691528,0.565939289153432,0.824709779622522,3.96864858612547,1.5134,NaN,4.14939822894674e-08,0.802312673654207,-1.34558377590088e-08,-0.802312673654207,1.1676522302316e-07,0.0140673997791935,9.10010781451853,0.00409746302198989,0.431028325784606,9.10010781451853,0.00299835362135998,0.0372162276931045,0,0,3.1169138667397,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:36
233,0.785398163397448,-0.785398163397448,5,0,full_final,5,100001,1.27246727625423,3.14100442189058,29.8039743231298,0.723868521344428,1.10083332150029,3.92651213100064,1.6147,NaN,4.79822642422827e-08,0.802312733538765,-3.62901948226349e-08,-0.802312733538765,1.2118749534927e-07,0.00870283098915524,5.28929092605558,0.00228199063855835,0.240051612208637,5.28929092605558,0.00480530922170866,0.0332077866430814,0,0,3.41170340375796,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:30:03
234,0.785398163397448,-0.785398163397448,5,10,full_final,5,100001,1.3445284313237,0.785398163397448,10,0.105994874058845,0.0255884289555208,4.10696102774694,1.085,NaN,1.37100628835075e-08,0.802312470125902,5.03756550531403e-09,-0.802312470125902,3.87596403861323e-08,0.00139966147080075,1.04755382593099,0.0004311069129132,0.0453498396226904,1.04755382593099,0.000641036475768913,0.00851934647542248,0,0,2.26557794432949,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:54
235,0.785398163397448,-0.349065850398866,-5,-10,full_final,5,100001,1.24855267262549,3.14112976183265,32.3714653647745,0.641096594451983,0.930447444593233,3.91089932178391,1.5941,NaN,5.05242619393009e-08,0.802312736641106,-3.49769564254068e-08,-0.802312736641106,1.2436584004781e-07,0.0115037292229634,7.07183363801833,0.00309789009557124,0.325879299994346,7.07183363801833,0.00766753157773157,0.053078693999556,0,0,3.23872102427769,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:30:03
236,0.785398163397448,-0.349065850398866,-5,0,full_final,5,100001,1.03544662717517,0.349479192491859,9.5820863198379,0.0709117740035198,0.00712411465195211,4.02910100290711,0.95235,NaN,1.06471492454269e-08,0.802312461848735,-2.1694538706009e-09,-0.802312461848735,5.17100926522573e-08,0.00178854647980592,1.59426898368749,0.000683002581887478,0.0718477403694908,1.59426898368749,0.00104991572559208,0.0173288388057959,0,0,2.15654781278479,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:54
237,0.785398163397448,-0.349065850398866,-5,10,full_final,5,100001,1.1587877696134,0.376952566926312,22.516302185676,0.0997924330831816,0.019932883779408,4.20786472565816,0.67855,NaN,1.06668177284253e-08,0.802312438714384,3.4849549606117e-09,-0.802312438714384,3.20471267301059e-08,0.00264520342137351,1.7919719593576,0.000836913319048135,0.0880382189662724,1.7919719593576,0.000541653040428661,0.0084866172857963,0,0,2.30365545920338,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:30:02
238,0.785398163397448,-0.349065850398866,0,-10,full_final,5,100001,1.24270112691525,3.1415188121283,34.3961661797893,0.588541155928151,0.845455757142767,3.92764910158599,1.5525,NaN,3.81406612769059e-08,0.802312672775003,-1.79489618346544e-08,-0.802312672775003,1.01569117316055e-07,0.00957757667288502,5.59494645793272,0.00246790311106968,0.259608479796941,5.59494645793272,0.00306654616111998,0.0192285517750672,0,0,3.14146157823533,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:53
239,0.785398163397448,-0.349065850398866,0,0,full_final,0.065,1301,1.60321983010561,0.34978542229117,17.6650388564624,0.0112875064325143,0.00279057300520295,0.0747065084310546,NaN,NaN,0.173721009144784,1.14936547088228,-0.109602522291385,1.14936547088228,0.34978542229117,0.00255303643712397,2.27967379418891,0.000934149865466566,0.0982669154994415,2.27967379418891,0.00141054377914518,0.0245141657698461,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,17-Jun-2026 11:29:58
