Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260703_230817_td3_mathworks_style_pi_current_1c_500hz_long_detailed\training_console.log
Episode:   1/5000 | Episode reward:   -57.76 | Episode steps:   44 | Average reward:   -57.76 | Step Count:   44 | Episode Q0:    -0.15
Episode: 139/5000 | Episode reward:   -21.69 | Episode steps:   38 | Average reward:   -13.26 | Step Count: 7392 | Episode Q0:     0.89
Episode: 140/5000 | Episode reward:    10.98 | Episode steps:   64 | Average reward:   -11.82 | Step Count: 7456 | Episode Q0:     0.89
Episode: 141/5000 | Episode reward:   -83.24 | Episode steps:   47 | Average reward:   -15.67 | Step Count: 7503 | Episode Q0:     0.89
Episode: 142/5000 | Episode reward:   -49.91 | Episode steps:   41 | Average reward:   -17.50 | Step Count: 7544 | Episode Q0:     0.89
Episode: 143/5000 | Episode reward:   -24.24 | Episode steps:   54 | Average reward:   -19.74 | Step Count: 7598 | Episode Q0:     0.89
Episode: 144/5000 | Episode reward:   -29.55 | Episode steps:   40 | Average reward:   -22.73 | Step Count: 7638 | Episode Q0:     0.89
Episode: 145/5000 | Episode reward:   -52.67 | Episode steps:   36 | Average reward:   -28.59 | Step Count: 7674 | Episode Q0:     0.89
Episode: 146/5000 | Episode reward:   -20.67 | Episode steps:   31 | Average reward:   -27.39 | Step Count: 7705 | Episode Q0:     0.89
Episode: 147/5000 | Episode reward:   -37.94 | Episode steps:   38 | Average reward:   -30.31 | Step Count: 7743 | Episode Q0:     0.89
Episode: 148/5000 | Episode reward:   -30.04 | Episode steps:   50 | Average reward:   -33.90 | Step Count: 7793 | Episode Q0:     0.89
Episode: 149/5000 | Episode reward:   -17.59 | Episode steps:   54 | Average reward:   -33.49 | Step Count: 7847 | Episode Q0:     0.89
Episode: 150/5000 | Episode reward:    11.55 | Episode steps:   67 | Average reward:   -33.43 | Step Count: 7914 | Episode Q0:     0.89
Episode: 151/5000 | Episode reward:   -11.13 | Episode steps:   54 | Average reward:   -26.22 | Step Count: 7968 | Episode Q0:     0.89
Episode: 152/5000 | Episode reward:   -13.90 | Episode steps:   53 | Average reward:   -22.62 | Step Count: 8021 | Episode Q0:     0.89
Episode: 153/5000 | Episode reward:   -33.70 | Episode steps:   42 | Average reward:   -23.56 | Step Count: 8063 | Episode Q0:     0.89
Episode: 154/5000 | Episode reward:    -9.49 | Episode steps:   45 | Average reward:   -21.56 | Step Count: 8108 | Episode Q0:     0.89
Episode: 155/5000 | Episode reward:   -37.66 | Episode steps:   49 | Average reward:   -20.06 | Step Count: 8157 | Episode Q0:     0.89
